ZAT,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,mujer,edad,nivel_educativo,formal,informal
460,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5555556,44.0,7.0,0.0,9.0
474,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,49.0,4.5,0.0,2.0
459,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.52459013,42.37705,6.5901637,1.0,57.0
457,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.4021739,44.72826,6.771739,2.0,82.0
664,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,40.75,5.5,0.0,4.0
165,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.25,47.041668,9.0,5.0,17.0
164,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.625,44.375,7.625,1.0,14.0
168,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.23529412,44.47059,8.235294,3.0,14.0
241,2011,1.0,1,0.0,0,0.0,0,0.0,0,0.3611111,40.916668,6.7777777,1.0,32.0
224,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5714286,43.0,6.714286,1.0,6.0
246,2011,1.0,1,0.0,0,0.0,0,0.0,0,0.5,41.166668,7.5,0.0,17.0
472,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,68.0,4.0,0.0,1.0
491,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
471,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
461,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,31.0,3.0,0.0,4.0
489,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
490,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.6666667,32.333332,4.6666665,0.0,3.0
492,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
452,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,41.8,4.6,1.0,9.0
493,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
602,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.5,39.75,6.5,0.0,3.0
453,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.38297874,41.340427,6.0851064,0.0,45.0
604,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
443,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.3846154,42.076923,6.25641,0.0,36.0
454,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.36792454,44.537735,6.235849,1.0,101.0
465,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,40.0,6.5,0.0,2.0
470,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26.0,5.0,1.0,0.0
469,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0,99.0,5.0,0.0,1.0
462,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.47826087,40.739132,5.7826085,0.0,22.0
494,2011,0.0,0,0.0,0,0.0,0,0.0,0,,,,,
